data_medicao;precipitacao_total_mensal(mm);temperatura_maxima_media_mensal(°c);temperatura_media_compensada_mensal(°c);temperatura_minima_media_mensal(°c);umidade_relativa_do_ar_media_mensal(%);cidade;estado;casos;pop;year;month
2011-10-01;144,2;24,667742;18,561935;14,516129;81,870968;barbacena;MG;1.0;135829.0;2011;10
2011-10-01;141,6;27,316129;23,496774;21,003226;82,685484;vitoria;ES;290.0;359555.0;2011;10
2011-10-01;210,4;29,025806;22,95871;17,854839;68,935484;maringa;PR;119.0;403063.0;2011;10
2011-10-01;178,8;26,519355;21,385161;17,412903;67,362903;belo_horizonte;MG;469.0;2513451.0;2011;10
2011-10-01;32,8;31,574194;27,252903;23,987097;74,733871;fortaleza;CE;517.0;2609716.0;2011;10
2011-10-01;109,8;29,370968;24,169032;20,916129;73,475806;rio_de_janeiro;RJ;1385.0;6498837.0;2011;10
2011-10-01;170,5;28,448387;22,220645;17,296774;67,362903;divinopolis;MG;23.0;232945.0;2011;10
2011-11-01;111,6;29,623333;23,542;18,136667;62,633333;maringa;PR;107.0;403063.0;2011;11
2011-11-01;288,7;26,186667;21,008;17,09;68,108333;belo_horizonte;MG;473.0;2513451.0;2011;11
2011-11-01;140,4;28,366667;21,891034;16,73;67,767857;divinopolis;MG;17.0;232945.0;2011;11
2011-11-01;68;23,92;17,680667;13,77;77,866667;curitiba;PR;23.0;1893997.0;2011;11
2011-11-01;204,4;23,593103;17,918;14,148276;82,558333;barbacena;MG;0.0;135829.0;2011;11
2011-11-01;24,4;31,54;27,4;24,15;74,375;fortaleza;CE;444.0;2609716.0;2011;11
2011-11-01;247,1;26,763333;23,380667;20,853333;81;vitoria;ES;337.0;359555.0;2011;11
2011-11-01;93,3;27,95;23,804667;20,62;72,8;rio_de_janeiro;RJ;1824.0;6498837.0;2011;11
2011-12-01;128,6;25,583871;19,904516;15,925806;75,620968;curitiba;PR;39.0;1893997.0;2011;12
2011-12-01;14,9;31,748387;27,677419;24,8;73,58871;fortaleza;CE;472.0;2609716.0;2011;12
2011-12-01;45;31,616129;25,232903;19,725806;61,024194;maringa;PR;107.0;403063.0;2011;12
2011-12-01;116,1;31,058065;26,145806;22,958065;74,120968;rio_de_janeiro;RJ;4112.0;6498837.0;2011;12
2011-12-01;400;25,206452;19,827742;16,33871;89,701613;barbacena;MG;0.0;135829.0;2011;12
2011-12-01;451,2;28,406452;22,596774;18,922581;78,903226;divinopolis;MG;20.0;232945.0;2011;12
2011-12-01;720;26,432258;21,718065;18,248387;77,629032;belo_horizonte;MG;561.0;2513451.0;2011;12
2012-01-01;407,5;27,287097;22,504516;18,7;69,645161;belo_horizonte;MG;1205.0;2513451.0;2012;1
2012-01-01;121;26,329032;20,354839;16,690323;79;curitiba;PR;57.0;1893997.0;2012;1
2012-01-01;282,9;29,987097;25,936129;23,33871;80,306452;vitoria;ES;522.0;359555.0;2012;1
2012-01-01;401,5;28,93871;22,960741;18,611111;74,314815;divinopolis;MG;48.0;232945.0;2012;1
2012-01-01;48,2;31,719355;27,664516;24,980645;75,266129;fortaleza;CE;698.0;2609716.0;2012;1
2012-01-01;136,7;30,264516;24,28129;19,790323;72,604839;maringa;PR;77.0;403063.0;2012;1
2012-01-01;220,9;31,551613;26,545806;23,487097;75,370968;rio_de_janeiro;RJ;7287.0;6498837.0;2012;1
2012-01-01;325;25,976923;19,894615;16,088462;85,846154;barbacena;MG;0.0;135829.0;2012;1
2012-02-01;62,8;34,837931;28,656552;24,62069;65,137931;rio_de_janeiro;RJ;13286.0;6498837.0;2012;2
2012-02-01;34,3;28,872414;23,848276;19,944828;58,051724;belo_horizonte;MG;755.0;2513451.0;2012;2
2012-02-01;198,8;28,717241;22,197241;18,4;78,344828;curitiba;PR;39.0;1893997.0;2012;2
2012-02-01;73,6;31,32069;26,775172;23,837931;76,181034;vitoria;ES;319.0;359555.0;2012;2
2012-02-01;210;30,889655;26,773103;23,8;80,818966;fortaleza;CE;1020.0;2609716.0;2012;2
2012-02-01;185,1;32,6;26,14069;21,044828;66,568966;maringa;PR;41.0;403063.0;2012;2
2012-02-01;38;31,224138;24,28;18,006897;61,767241;divinopolis;MG;31.0;232945.0;2012;2
2012-02-01;51;27,675862;20,978571;16,153571;80,392857;barbacena;MG;2.0;135829.0;2012;2
2012-03-01;58,9;31,622581;26,883871;23,877419;73,564516;vitoria;ES;266.0;359555.0;2012;3
2012-03-01;84,1;32,590323;26,927742;24,051613;73,959677;rio_de_janeiro;RJ;28990.0;6498837.0;2012;3
2012-03-01;148,6;30,403333;23,42;18,116667;68,806452;divinopolis;MG;22.0;232945.0;2012;3
2012-03-01;302,4;30,641935;26,876774;23,841935;81,725806;fortaleza;CE;2358.0;2609716.0;2012;3
2012-03-01;198,1;26,893548;20,261935;15,648387;84,83871;barbacena;MG;1.0;135829.0;2012;3
2012-03-01;48;27,016129;20,130323;15,619355;75,717742;curitiba;PR;32.0;1893997.0;2012;3
